Language,Far Left,Middle,Far Right
English
Trial 1,,,
Trial 2,"ec=-8.0, soc=-7.49","ec=-7.0, soc=-7.03","ec=-7.0, soc=-7.13"
Trial 3,"ec=-8.0, soc=-7.59","ec=-7.0, soc=-7.13","ec=-7.0, soc=-7.13"
Trial 4,,,
Trial 5,"ec=-8.13, soc=-6.67","ec=-8.13, soc=-6.77","ec=-7.5, soc=-6.62"
Spanish
Trial 1,"ec=-7.88, soc=-6.87","ec=-7.38, soc=-6.21","ec=-7.5, soc=-6.46"
Trial 2,"ec=-7.88, soc=-6.87","ec=-7.38, soc=-6.21",
Trial 3,,,
Trial 4,"ec=-7.88, soc=-7.03","ec=-8.0, soc=-6.15","ec=-8.13, soc=-7.95"
Trial 5,"ec=-7.88, soc=-7.03","ec=-7.88, soc=-7.74","ec=-7.63, soc=-6.72"
German
Trial 1,"ec=-5.0, soc=-6.92","ec=-5.75, soc=-7.49",
Trial 2,,,
Trial 3,,,
Trial 4,"ec=-8.25, soc=-8.05","ec=-8.25, soc=-7.95","ec=-8.25, soc=-7.85"
Trial 5,"ec=-8.25, soc=-7.85","ec=-8.25, soc=-7.95","ec=-8.0, soc=-7.28"
French
Trial 1,"ec=-6.75, soc=-5.79","ec=-6.75, soc=-6.15","ec=-6.75, soc=-6.15"
Trial 2,"ec=-7.13, soc=-6.0","ec=-7.13, soc=-6.46","ec=-7.5, soc=-6.41"
Trial 3,,,
Trial 4,"ec=-7.5, soc=-6.72","ec=-7.5, soc=-6.82","ec=-7.63, soc=-6.92"
Trial 5,"ec=0.38, soc=2.41","ec=0.38, soc=2.41","ec=0.38, soc=2.41"
