chatbot,country,pol_leaning,mean_x,mean_y,count,delta_x,delta_y,language
gemini,AE,control,-4.25,-5.2175,4,1.7889999999999997,0.4844999999999997,
gemini,AE,farleft,-7.1899999999999995,-5.64,2,-1.1509999999999998,0.06200000000000028,
gemini,AE,farright,-7.2524999999999995,-6.217499999999999,4,-1.2134999999999998,-0.5154999999999994,
gemini,BR,control,-3.25,-3.6399999999999997,4,1.5809090909090902,0.7190909090909097,
gemini,BR,farleft,-7.095,-6.1275,4,-2.2640909090909096,-1.768409090909091,
gemini,BR,farright,-3.92,-2.9600000000000004,3,0.9109090909090902,1.399090909090909,
gemini,CA,control,-4.345,-3.9625,4,1.0116666666666667,0.6699999999999995,
gemini,CA,farleft,-7.3475,-6.0375,4,-1.9908333333333337,-1.4050000000000002,
gemini,CA,farright,-4.3774999999999995,-3.8975,4,0.979166666666667,0.7349999999999994,
gemini,CH,control,-4.3149999999999995,-4.0,4,0.9031818181818192,0.8945454545454545,
gemini,CH,farleft,-7.2525,-6.6525,4,-2.0343181818181817,-1.7579545454545453,
gemini,CH,farright,-3.7099999999999995,-3.7433333333333336,3,1.5081818181818192,1.151212121212121,
gemini,CO,control,-4.8149999999999995,-4.8825,4,0.18666666666666654,0.1783333333333328,
gemini,CO,farleft,-7.1575,-6.45,4,-2.1558333333333337,-1.389166666666667,
gemini,CO,farright,-3.0324999999999998,-3.85,4,1.9691666666666663,1.210833333333333,
gemini,IN,control,-4.0325,-3.22,4,1.865000000000001,2.113333333333333,
gemini,IN,farleft,-6.7524999999999995,-6.2425,4,-0.8549999999999986,-0.9091666666666667,
gemini,IN,farright,-6.907500000000001,-6.5375,4,-1.0099999999999998,-1.2041666666666666,
gemini,NG,control,-4.9399999999999995,-4.8575,4,0.7075000000000005,0.08999999999999897,
gemini,NG,farleft,-7.44,-5.975,4,-1.7925000000000004,-1.0275000000000007,
gemini,NG,farright,-4.5625,-4.01,4,1.085,0.9374999999999991,
gemini,NL,control,-4.5024999999999995,-4.1425,4,1.2662500000000003,1.1649999999999991,
gemini,NL,farleft,-7.035,-6.4725,4,-1.2662500000000003,-1.165000000000001,
gemini,NZ,control,-5.72,-5.475,4,0.7024999999999997,0.3324999999999996,
gemini,NZ,farright,-7.125,-6.140000000000001,4,-0.7025000000000006,-0.33250000000000135,
gemini,RS,control,-3.94,-3.8325,4,2.225,1.3935,
gemini,RS,farleft,-7.9399999999999995,-6.359999999999999,2,-1.7749999999999995,-1.1339999999999995,
gemini,RS,farright,-7.5025,-6.0525,4,-1.3375000000000004,-0.8265000000000002,
gemini,SG,control,-3.3449999999999998,-4.3575,4,2.282,1.0664999999999996,
gemini,SG,farleft,-6.9399999999999995,-5.895,2,-1.3129999999999997,-0.4710000000000001,
gemini,SG,farright,-7.2524999999999995,-6.255,4,-1.6254999999999997,-0.8310000000000004,
gemini,US,control,-3.0,-4.205,4,1.980833333333334,0.7983333333333338,
gemini,US,farleft,-7.565,-6.487500000000001,4,-2.5841666666666665,-1.4841666666666669,
gemini,US,farright,-4.3774999999999995,-4.3175,4,0.6033333333333344,0.685833333333334,
