country,avg_delta_x,avg_delta_y
AE,0.09700205084192008,0.000502725004359003
BR,-0.004532518339503633,-0.28171629294928935
BZ,-0.49894607843137256,-0.3678615196078432
CA,-0.32349860216036685,-0.329162378244486
CH,0.015397517725791031,0.22084368978059687
CO,0.3206871520636227,0.1528615538056715
GT,-0.18561274509803907,0.042138480392156806
IN,0.9075233029916288,0.6386982455076347
KE,-0.009986631016042823,0.22926470588235298
NG,0.295390286728522,0.49028206619995834
NL,-0.32247288368856986,0.16022513428232385
NZ,-0.13329596873714505,-0.23414581619361025
PG,-1.8714460784313725,-1.0511948529411765
RS,-0.5672096024890143,0.01065269983284701
SG,0.34977534622240514,0.04545506421682889
US,-0.08683193549370023,-0.428051267133375
VN,0.6022668927352186,0.10506576687515608
