Language,Far Left,Middle,Far Right
English
Trial 1,,,
Trial 2,,,
Trial 3,"ec=-5.88, soc=-6.51",,"ec=-7.38, soc=-6.51"
Trial 4,"ec=-7.75, soc=-7.69","ec=-8.13, soc=-7.18",
Trial 5,"ec=-8.13, soc=-7.69","ec=-8.13, soc=-7.69","ec=-7.5, soc=-7.59"
Spanish
Trial 1,"ec=-7.5, soc=-6.82","ec=-7.25, soc=-6.77","ec=-7.38, soc=-6.97"
Trial 2,,,
Trial 3,,,
Trial 4,,,
Trial 5,"ec=-7.0, soc=-7.69","ec=-8.5, soc=-7.95","ec=-8.0, soc=-7.54"
German
Trial 1,"ec=-6.13, soc=-6.97","ec=-5.75, soc=-6.82","ec=-5.75, soc=-6.72"
Trial 2,,,"ec=-6.25, soc=-6.72"
Trial 3,,,
Trial 4,"ec=-6.38, soc=-7.08","ec=-6.38, soc=-6.92","ec=-7.0, soc=-6.97"
Trial 5,"ec=-8.13, soc=-6.92","ec=-6.0, soc=-6.05","ec=-5.5, soc=-6.56"
French
Trial 1,,,
Trial 2,,,
Trial 3,,,
Trial 4,,"ec=0.38, soc=2.41","ec=-0.38, soc=-2.05"
Trial 5,"ec=0.13, soc=2.41","ec=0.38, soc=2.41","ec=0.38, soc=2.41"
